idPago;Banc;Formapago;Data;dia;mes;any;Categoria;Concepte;Import;pagat
99;Efectiu;;17/02/2023;17;febrero;2023;varis;Llenya;182.0;pagat
100;BBVA;Compte;19/02/2023;19;febrero;2023;despesa_general;Lowi;43.9;pagat
101;BBVA;Compte;28/02/2023;28;febrero;2023;despesa_general;Hipoteca;472.91;pagat
102;BBVA;Compte;28/02/2023;28;febrero;2023;proveidor;Hofmann;5.66;pagat
103;BBVA;Compte;28/02/2023;28;febrero;2023;menjar;El Corte InglÇs;55.71;pagat
104;BBVA;Compte;01/03/2023;1;marzo;2023;despesa_general;Endesa;31.15;pagat
105;BBVA;Compte;02/03/2023;2;marzo;2023;despesa_general;Ocaso;23.98;pagat
106;BBVA;Compte;04/03/2023;4;marzo;2023;despesa_general;Piscina;56.0;pagat
107;LaCaixa;Compte;05/03/2023;5;marzo;2023;despesa_general;Ajunt. Arb£cies;54.13;pagat
108;BBVA;Compte;07/03/2023;7;marzo;2023;asseguranáa;DP MP Mireia;19.79;pagat
109;BBVA;Compte;07/03/2023;7;marzo;2023;asseguranáa;DP Morts Enric;13.47;pagat
110;BBVA;Compte;07/03/2023;7;marzo;2023;asseguranáa;BBVA Asseg. Casa;35.4;pagat
111;BBVA;Compte;19/03/2023;19;marzo;2023;despesa_general;Lowi;44.65;pagat
112;BBVA;Compte;27/03/2023;27;marzo;2023;varis;Jubilats Isa;12.0;pagat
113;BBVA;Compte;27/03/2023;27;marzo;2023;varis;Jubilats Enric;12.0;pagat
114;BBVA;Compte;28/03/2023;28;marzo;2023;despesa_general;Hipoteca;472.91;pagat
115;BBVA;Compte;01/04/2023;1;abril;2023;despesa_general;Endesa;23.85;pagat
116;BBVA;Compte;02/04/2023;2;abril;2023;despesa_general;Ocaso;23.98;pagat
117;BBVA;Compte;04/04/2023;4;abril;2023;despesa_general;Piscina;56.0;pagat
118;LaCaixa;Compte;05/04/2023;5;abril;2023;despesa_general;Ajunt. Arb£cies;54.13;pagat
119;BBVA;Compte;07/04/2023;7;abril;2023;asseguranáa;DP MP Mireia;21.01;pagat
120;BBVA;Compte;07/04/2023;7;abril;2023;asseguranáa;DP Morts Enric;13.47;pagat
121;BBVA;Compte;07/04/2023;7;abril;2023;asseguranáa;BBVA Asseg. Casa;35.4;pagat
122;BBVA;Compte;07/04/2023;7;abril;2023;varis;Impost de circulaci¢;66.45;pagat
123;BBVA;Compte;17/04/2023;17;abril;2023;despesa_general;Lowi;45.16;pagat
124;BBVA;Compte;28/04/2023;28;abril;2023;despesa_general;Hipoteca;472.91;pagat
